Title,Rating,Votes,Duration,Storyline,content
In the Name of Blood,6.2, (340),1h 48m,"After years in exile, a young man with a troubled past returns to Nice to avenge his father's murder by two motorcycle assassins.",name blood year exile young man troubled past return nice avenge father murder two motorcycle assassin
Good Men,6.3, (24),1h 30m,"Filmmaker Bobby Roth gathered 50 friends - including Peter Coyote, Henry Winkler, and Michelle Satter - to take stock of their lives, loves, mistakes, and regrets in this wonderfully candid examination of the journeys we've taken.",good men filmmaker bobby roth gathered friend including peter coyote henry winkler michelle satter take stock life love mistake regret wonderfully candid examination journey taken
4 Zéros,3.6, (339),1h 45m,"Sylvie Colonna, president of the football club of Haricots d'Arpajon, has remade her life with José Pinto. Their son, Manu, a somewhat lost thirty-something, dreams of becoming a player agent.",zros sylvie colonna president football club haricot darpajon remade life jos pinto son manu somewhat lost thirtysomething dream becoming player agent
Sevappi,5.2, (219),1h 53m,A 5-year-old boy living in a remote Tamil Nadu village bonds with a chicken he pretends to have birthed. The village views this as a family dispute that escalates into a caste issue dividing the town.,sevappi boy living remote tamil nadu village bond chicken pretend birthed village view family dispute escalates caste issue dividing town
Hirçin Kiz,4.8, (12),1h 45m,"Ayaz and Melis are a couple who want to get married. However, Melis's father sets a condition: ""Your older sister must get married first."" Disturbed by this, Ayaz devises a plan. He makes a deal with his rogue and con artist friend, Emir. According to the agreement, Ayaz will pay off all of Emir's debts. In return, Emir will marry Asiye, Melis's older sister, a rebellious, wild, and feisty woman who doesn't let any man near her.",hirin kiz ayaz melis couple want get married however meliss father set condition older sister must get married first disturbed ayaz devise plan make deal rogue con artist friend emir according agreement ayaz pay emir debt return emir marry asiye meliss older sister rebellious wild feisty woman let man near
Crosspoint,6.7, (77),1h 40m,"An illegal Filipino entertainer in Japan, Manuel, meets a bankrupt Japanese businessman, Shigeru. After knowing the whereabouts of a high-profile serial killer at large, the two men decide to capture the killer to get a big bounty.",crosspoint illegal filipino entertainer japan manuel meet bankrupt japanese businessman shigeru knowing whereabouts highprofile serial killer large two men decide capture killer get big bounty
Powerball,9.7, (12),1h 6m,KCHILL and Bella are in a tight situation. She ask him to get a Powerball ticket with the last of their money. Only problem is he switched the numbers around so what will happen next.,powerball kchill bella tight situation ask get powerball ticket last money problem switched number around happen next
Oru Anveshanathinte Thudakkam,6.8, (837),3h 1m,"In Kerala, an investigating journalist disappears without notice. Media and public stunned. Investigation uncovers shocking, unexpected mysteries. Suspenseful plot follows the case's twists and revelations.",oru anveshanathinte thudakkam kerala investigating journalist disappears without notice medium public stunned investigation uncovers shocking unexpected mystery suspenseful plot follows case twist revelation
A Hero's Journey: The Making of Percy Jackson and the Olympians,7.5, (292),50m,A behind-the-scenes look at the creation of Percy Jackson and the Olympians (2023).,hero journey making percy jackson olympian behindthescenes look creation percy jackson olympian
Gold Lust,5.6, (133),1h 42m,"The arrival of the train to an isolated town brings progress, but also to the obscure usurer Oleguer with shady businesses. When she expropriates the farmhouse of Cileta, the young peasant woman will do her best to recover her house.",gold lust arrival train isolated town brings progress also obscure usurer oleguer shady business expropriates farmhouse cileta young peasant woman best recover house
Flathead,5.6, (63),1h 29m,"Late in life, Cass is drawn to his long-forsaken childhood home of Bundaberg, where he finds himself on a spiritual search for redemption.",flathead late life cass drawn longforsaken childhood home bundaberg find spiritual search redemption
The Defender,3.9, (68),1h 41m,A vigilante comes face to face with her demons while tracking down criminals tied to her past.,defender vigilante come face face demon tracking criminal tied past
The Mill Killers,4.1, (129),1h 40m,Four girls return home to a ghost town but find themselves being followed. By someone who knows what they did? Or just their guilty conscience? There's more to each girl than meets the eye.,mill killer four girl return home ghost town find followed someone know guilty conscience girl meet eye
Purgatory Station,3.5, (78),1h 48m,"When a crooked lawyer wakes up in a large, pitch-dark container, he learns he has eight hours to scuttle a corporate land grab or see everyone he loves die horribly. .",purgatory station crooked lawyer wake large pitchdark container learns eight hour scuttle corporate land grab see everyone love die horribly
Red Path,7.0, (254),1h 41m,"A group of men attack two young shepherds. Achraf, 14, is obliged to bring the head of his cousin Nizar to the family as a macabre message.",red path group men attack two young shepherd achraf obliged bring head cousin nizar family macabre message
