Title,Rating,Votes,Duration,Storyline
99. The Surfer,5.9, (21K),1h 40m,"A man returns to his childhood beach in Australia, but is forced into a fight for survival by a territorial group called the Bay Boys."
100. Subservience,5.4, (37K),1h 46m,"A family man buys a domestic android after his wife's hospitalization. The android develops obsessive attachment, manipulates the household, eliminates perceived rivals, and ultimately attempts to claim his wife's heart literally."
101. Mean Girls,5.5, (41K),1h 52m,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
102. Love Lies Bleeding,6.6, (64K),1h 44m,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family."
103. Madame Web,4.1, (116K),1h 56m,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present."
104. AfrAId,5.2, (18K),1h 24m,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
105. Salem's Lot,5.6, (42K),1h 54m,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire."
106. The Killer,5.7, (18K),2h 6m,"After being betrayed by her master, a disillusioned assassin takes one final shot with the intention of using the money to help a musician she accidentally blinded regain vision."
107. Don't Move,5.8, (46K),1h 32m,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down."
108. Parthenope,6.5, (21K),2h 17m,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters."
109. The Instigators,6.2, (44K),1h 41m,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.
110. A Nice Indian Boy,7.3, (8.1K),1h 36m,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
111. Sidelined: The QB and Me,5.8, (6.4K),1h 39m,A headstrong dancer and a cocky quarterback fight against their feelings for each other as their post-grad future threatens to keep them apart.
112. Nightbitch,5.5, (25K),1h 39m,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn."
113. Fly Me to the Moon,6.6, (59K),2h 12m,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
114. Cuckoo,5.7, (35K),1h 42m,A 17-year-old is forced to move with her family to a resort where things are not what they seem.
115. Strange Harvest,6.3, (6.7K),1h 34m,"Detectives are thrust into a chilling hunt for ""Mr. Shiny""-a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque, otherworldly crimes tied to a dark cosmic force."
